filename,w,h,uses,pages,what,status,url
0KAaghz.jpeg,2560,1440,2,34 36,,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/0KAaghz.jpeg
3SCA4ON.png,1200,926,1,34,,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/3SCA4ON.png
400px-TotK_Lizalfos_Model_cut.png,398,582,1,205,,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/400px-TotK_Lizalfos_Model_cut.png
439px-TotK_Black_Lizalfos_Model.png,439,599,1,207,,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/439px-TotK_Black_Lizalfos_Model.png
520px-TotK_Blue_Moblin_Model_cut.png,502,570,1,178,,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/520px-TotK_Blue_Moblin_Model_cut.png
5HK6Lyx.png,649,600,1,26,,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/5HK6Lyx.png
5ZOrYh7.png,600,600,1,270,,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/5ZOrYh7.png
659px-TotK_Ice_Chuchu_Model.png,659,600,1,191,,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/659px-TotK_Ice_Chuchu_Model.png
661px-TotK_Electric_Chuchu_Model.png,661,599,1,194,,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/661px-TotK_Electric_Chuchu_Model.png
73Jhagl.png,360,429,1,18,Deku,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/73Jhagl.png
750px-Link_Soldier_Set_-_HWAoC_key_art.png,750,599,1,61,,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/750px-Link_Soldier_Set_-_HWAoC_key_art.png
8oNGgBC.png,525,599,1,30,,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/8oNGgBC.png
9VrSP0M.png,521,602,1,36,,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/9VrSP0M.png
9oVFX5O.png,1920,1080,1,21,,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/9oVFX5O.png
ALttP_Triforce_Sacred_Realm_soft.png,1075,756,1,263,,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/ALttP_Triforce_Sacred_Realm_soft.png
AoI_Rauru_Artwork.png,2761,4000,1,35,Zonai,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/AoI_Rauru_Artwork.png
AoI_Sonia_Artwork.png,1228,1531,1,64,,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/AoI_Sonia_Artwork.png
AoI_Warriors_Artwork.png,1555,1019,1,6,,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/AoI_Warriors_Artwork.png
BGwXHYl.png,600,600,1,270,,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/BGwXHYl.png
BKmST6S.png,1191,2119,1,65,Goddess Chanter,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/BKmST6S.png
BOlF1Ku.png,2500,400,1,1,Front cover,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/BOlF1Ku.png
BotW_Calamity_Ganon_Artwork.webp,925,814,1,290,,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/BotW_Calamity_Ganon_Artwork.webp
BotW_Forest_Octorok_Model.png,200,324,1,212,Forest Octorok,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/BotW_Forest_Octorok_Model.png
BotW_Hyrule_Field.png,1920,1080,2,3 317,Before You Begin,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/BotW_Hyrule_Field.png
BotW_Link_Snow_soft.png,780,760,1,40,,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/BotW_Link_Snow_soft.png
BotW_Sky_Octorok_Platform_Model_2.png,2600,1800,1,215,Sky Octorok,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/BotW_Sky_Octorok_Platform_Model_2.png
BotW_Snow_Octorok_Model.png,248,386,1,214,Snow Octorok,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/BotW_Snow_Octorok_Model.png
CDvlxGu.png,1280,978,1,12,,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/CDvlxGu.png
DTCTlG2.png,960,960,19,18 19 20 21 22 23 25 26 27 29 30 31 32 33 34 35 36 37 39,Deku,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/DTCTlG2.png
DxbYt4E.png,644,738,1,68,,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/DxbYt4E.png
EZTyS3f.png,1280,720,1,24,,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/EZTyS3f.png
EoW_Armos_Model_2.png,749,919,1,186,Armos,in repo,https://raw.githubusercontent.com/AnthonyEllisDev/Zelda-DnD/main/images/EoW_Armos_Model_2.png
